method,size,jobs,read_s,check_s,setup_s,analysis_s
hspice_independent,1,1.0,0.004400000000000001,0.022400000000000003,0.0012999999999999956,0.1114
hspice_alter,1,1.0,0.005999999999999998,0.023500000000000004,0.0011999999999999997,0.1182
hspice_independent,10,10.0,0.0686,0.19090000000000001,0.02530000000000001,1.2405
hspice_alter,10,10.0,0.1289000000000001,0.11440000000000007,0.006200000000000004,1.2028999999999999
hspice_independent,50,50.0,0.3982,0.9583999999999997,0.11360000000000012,6.0252000000000026
hspice_alter,50,50.0,0.33460000000000667,0.5342999999999954,0.07710000000000027,3.585700000000007
hspice_independent,100,100.0,0.737199999999999,2.0829000000000004,0.1452000000000002,12.128399999999997
hspice_alter,100,100.0,0.8375000000000019,0.9321999999999965,0.11620000000000144,6.565999999999995
hspice_independent,200,200.0,1.499099999999997,4.1377000000000015,0.33199999999999996,24.130300000000005
hspice_alter,200,200.0,2.918400000000005,1.5762,0.1702000000000019,11.369599999999997
hspice_independent,500,500.0,3.846000000000015,10.348100000000002,0.7913999999999946,60.35990000000007
hspice_alter,500,500.0,11.326300000000002,4.164300000000006,0.406299999999997,29.04409999999997
