method,size,repeats,median_wall_s,median_simulation_wall_s,median_per_point_s,median_max_rss_kb,min_wall_s,max_wall_s
hspice_independent,1,5,0.2411406710743904,0.23,0.2411406710743904,58080,0.23717465403024107,0.2487515800166875
hspice_alter,1,5,0.23825556901283562,0.23,0.23825556901283562,58084,0.23348967707715929,0.24679169990122318
ngspice_independent,1,5,0.07278351800050586,0.07,0.07278351800050586,10960,0.07223518600221723,0.08291682600975037
ngspice_reuse,1,5,0.09360174194443971,0.09,0.09360174194443971,11252,0.08525318489409983,0.09569745697081089
hspice_independent,10,3,2.42956205108203,2.34,0.24295620510820298,58084,2.3912434990052134,2.4351174499606714
hspice_alter,10,3,1.6802690309705213,1.67,0.16802690309705212,58728,1.6781095849582925,1.716335193021223
ngspice_independent,10,3,0.7041059170151129,0.62,0.07041059170151129,10960,0.7011493000900373,0.7136457569431514
ngspice_reuse,10,3,0.6800774990115315,0.67,0.06800774990115314,11252,0.6687639290466905,0.6841923260362819
hspice_independent,50,3,12.043944989913143,11.65,0.24087889979826285,58084,12.043041429948062,12.084166434942745
hspice_alter,50,3,5.082085417001508,5.07,0.10164170834003017,59072,5.051034138072282,5.085135739995167
ngspice_independent,50,3,3.48329109698534,3.05,0.0696658219397068,10960,3.4817935170140117,3.4857690120115876
ngspice_reuse,50,3,3.3099847059929743,3.3,0.06619969411985949,11600,3.30950859002769,3.3204671510029584
hspice_independent,100,3,24.009713059058413,23.26,0.24009713059058413,58084,23.890989982057363,24.078333779005334
hspice_alter,100,3,9.417994693038054,9.41,0.09417994693038054,59144,9.413797521032393,9.498990893014707
ngspice_independent,100,3,6.9928972870111465,6.09,0.06992897287011146,10964,6.9405488420743495,7.064497357001528
ngspice_reuse,100,3,6.655633406946436,6.65,0.06655633406946436,12068,6.603404105990194,6.6806079760426655
hspice_independent,200,3,47.8372341679642,46.39,0.239186170839821,58084,47.792495490051806,47.9531728529837
hspice_alter,200,3,19.01178987196181,19.01,0.09505894935980905,59960,18.981093039968982,19.035478539997712
ngspice_independent,200,3,13.843252192949876,12.09,0.06921626096474938,10964,13.816164545016363,14.08496639400255
ngspice_reuse,200,3,13.25627421005629,13.25,0.06628137105028145,13004,13.196557974093594,13.283549079904333
hspice_independent,500,3,119.42181345599238,115.82000000000001,0.23884362691198477,58084,119.38956439995673,119.52985147805884
hspice_alter,500,3,54.57879004906863,54.57,0.10915758009813727,60200,54.501101374975406,54.59365646797232
ngspice_independent,500,3,34.56336964201182,30.189999999999998,0.06912673928402364,10964,34.544211550964974,34.571176077006385
ngspice_reuse,500,3,33.093500910908915,33.09,0.06618700182181783,15816,33.01697982195765,33.14238815102726
