layer,analysis,method,startup_fit_s,per_point_fit_s,r_squared
end_to_end,dc,hspice_alter,-0.20285186894305696,0.25267715514582295,0.9995879786187092
end_to_end,dc,hspice_independent,0.7428288411853288,0.5249581377957079,0.9998612050334263
end_to_end,dc,ngspice_official_independent,-0.03148558039469407,0.0925760518541382,0.9999916597717884
end_to_end,dc,ngspice_optimized_independent,-0.04660519872657787,0.09271101684379997,0.9999895142186519
end_to_end,dc,ngspice_optimized_reuse,-0.10502000348668616,0.11255416853765142,0.9999592923067487
end_to_end,tran,hspice_alter,0.9100729564563856,1.0027385171702232,0.9999957623821678
end_to_end,tran,hspice_independent,-0.016762373331268066,1.9343434603945906,0.9999967433485489
end_to_end,tran,ngspice_official_independent,-0.1758060020245864,15.087427509337719,0.9999927344850321
end_to_end,tran,ngspice_optimized_independent,-0.1120979456769362,15.066182062240193,0.999990631245624
solver_only,dc,hspice_alter,-0.21490127560523575,0.2518507325965162,0.9995673165280194
solver_only,dc,hspice_independent,0.5208529870255632,0.5262228084327653,0.9999054889799165
solver_only,dc,ngspice_official_independent,-0.02314251559706726,0.0917453433852425,0.9999950902773094
solver_only,dc,ngspice_optimized_independent,-0.03035321814998504,0.09164082857030428,0.9999925158392545
solver_only,dc,ngspice_optimized_reuse,-0.04546615790089703,0.11128802540114291,0.9999899709660007
solver_only,tran,hspice_alter,0.08889468434113446,0.044391910515559636,0.9997097821087801
solver_only,tran,hspice_independent,0.010911303140697992,0.11991036314941426,0.9999931514720279
solver_only,tran,ngspice_official_independent,-0.04001447879727493,15.081950167172685,0.9999899594676066
solver_only,tran,ngspice_optimized_independent,-0.10807021999775657,15.081388011582813,0.9999927995519059
