layer,analysis,size,rank,method,median_wall_s
solver_only,dc,500,1,ngspice_optimized_independent,45.824696738040075
solver_only,dc,500,2,ngspice_official_independent,45.87746827502269
solver_only,dc,500,3,ngspice_optimized_reuse,55.648951736046
solver_only,dc,500,4,hspice_alter,126.46653166809119
solver_only,dc,500,5,hspice_independent,263.07076619693544
solver_only,tran,20,1,hspice_alter,0.9808384149800986
solver_only,tran,20,2,hspice_independent,2.4075020119780675
solver_only,tran,20,3,ngspice_optimized_independent,301.30929078301415
solver_only,tran,20,4,ngspice_official_independent,301.3505756839877
end_to_end,dc,500,1,ngspice_official_independent,46.29544388805516
end_to_end,dc,500,2,ngspice_optimized_independent,46.352922081016004
end_to_end,dc,500,3,ngspice_optimized_reuse,56.27820071799215
end_to_end,dc,500,4,hspice_alter,126.87435762595851
end_to_end,dc,500,5,hspice_independent,262.5160548900021
end_to_end,tran,20,1,hspice_alter,20.961318301968277
end_to_end,tran,20,2,hspice_independent,38.65119800006505
end_to_end,tran,20,3,ngspice_optimized_independent,300.9612067149719
end_to_end,tran,20,4,ngspice_official_independent,301.35161999601405
