layer,analysis,size,comparison,baseline,candidate,speedup
solver_only,dc,1,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,6.237294296221799
solver_only,dc,1,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,6.798705054408749
solver_only,dc,1,ng_reuse_vs_hspice_alter,hspice_alter,ngspice_optimized_reuse,5.11536969870592
solver_only,dc,1,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0900087011329609
solver_only,dc,1,topology_reuse,ngspice_optimized_independent,ngspice_optimized_reuse,0.7405927358363624
solver_only,dc,10,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,5.532962391550665
solver_only,dc,10,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,5.552342588322341
solver_only,dc,10,ng_reuse_vs_hspice_alter,hspice_alter,ngspice_optimized_reuse,2.7997867558992175
solver_only,dc,10,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0035026800112126
solver_only,dc,10,topology_reuse,ngspice_optimized_independent,ngspice_optimized_reuse,0.8299063878225041
solver_only,dc,50,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,5.740344796809146
solver_only,dc,50,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,5.745756009127653
solver_only,dc,50,ng_reuse_vs_hspice_alter,hspice_alter,ngspice_optimized_reuse,2.2092359418001317
solver_only,dc,50,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.000942663291152
solver_only,dc,50,topology_reuse,ngspice_optimized_independent,ngspice_optimized_reuse,0.8235432303053529
solver_only,dc,100,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,5.9789700328952895
solver_only,dc,100,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,5.990759511401316
solver_only,dc,100,ng_reuse_vs_hspice_alter,hspice_alter,ngspice_optimized_reuse,2.251595627866669
solver_only,dc,100,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0019718243177609
solver_only,dc,100,topology_reuse,ngspice_optimized_independent,ngspice_optimized_reuse,0.8262303321161809
solver_only,dc,200,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,5.838363360968688
solver_only,dc,200,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,5.85342488260978
solver_only,dc,200,ng_reuse_vs_hspice_alter,hspice_alter,ngspice_optimized_reuse,2.186103533321327
solver_only,dc,200,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0025797506441245
solver_only,dc,200,topology_reuse,ngspice_optimized_independent,ngspice_optimized_reuse,0.8240996096636644
solver_only,dc,500,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,5.734204089464989
solver_only,dc,500,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,5.740807575897271
solver_only,dc,500,ng_reuse_vs_hspice_alter,hspice_alter,ngspice_optimized_reuse,2.2725770696984013
solver_only,dc,500,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.001151595989479
solver_only,dc,500,topology_reuse,ngspice_optimized_independent,ngspice_optimized_reuse,0.8234601966160241
solver_only,tran,1,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,0.008754840851694251
solver_only,tran,1,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,0.008758332565878197
solver_only,tran,1,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0003988323994801
solver_only,tran,5,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,0.008095758826959747
solver_only,tran,5,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,0.008107323185127857
solver_only,tran,5,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0014284464761474
solver_only,tran,10,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,0.008020596201347277
solver_only,tran,10,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,0.008027896395245317
solver_only,tran,10,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0009101809534824
solver_only,tran,20,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,0.007989040692932681
solver_only,tran,20,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,0.007990135338082932
solver_only,tran,20,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0001370183470488
end_to_end,dc,1,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,6.193322134357467
end_to_end,dc,1,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,6.275797374440416
end_to_end,dc,1,ng_reuse_vs_hspice_alter,hspice_alter,ngspice_optimized_reuse,5.275476464220938
end_to_end,dc,1,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0133168012730063
end_to_end,dc,1,topology_reuse,ngspice_optimized_independent,ngspice_optimized_reuse,0.8103797548062894
end_to_end,dc,10,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,5.467309361376018
end_to_end,dc,10,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,5.526442034802159
end_to_end,dc,10,ng_reuse_vs_hspice_alter,hspice_alter,ngspice_optimized_reuse,2.7883259212312197
end_to_end,dc,10,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0108156808985211
end_to_end,dc,10,topology_reuse,ngspice_optimized_independent,ngspice_optimized_reuse,0.8278314533462624
end_to_end,dc,50,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,5.731159877162764
end_to_end,dc,50,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,5.750317509830059
end_to_end,dc,50,ng_reuse_vs_hspice_alter,hspice_alter,ngspice_optimized_reuse,2.217814406235241
end_to_end,dc,50,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.003342714751971
end_to_end,dc,50,topology_reuse,ngspice_optimized_independent,ngspice_optimized_reuse,0.8320192673953365
end_to_end,dc,100,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,5.989367984638445
end_to_end,dc,100,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,5.996295723007732
end_to_end,dc,100,ng_reuse_vs_hspice_alter,hspice_alter,ngspice_optimized_reuse,2.251920434155745
end_to_end,dc,100,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0011566726885133
end_to_end,dc,100,topology_reuse,ngspice_optimized_independent,ngspice_optimized_reuse,0.8282448696671045
end_to_end,dc,200,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,5.803821638466611
end_to_end,dc,200,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,5.8022206810860455
end_to_end,dc,200,ng_reuse_vs_hspice_alter,hspice_alter,ngspice_optimized_reuse,2.1896945136249064
end_to_end,dc,200,source_optimization,ngspice_official_independent,ngspice_optimized_independent,0.9997241546208183
end_to_end,dc,200,topology_reuse,ngspice_optimized_independent,ngspice_optimized_reuse,0.8301816062147082
end_to_end,dc,500,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,5.670451190073474
end_to_end,dc,500,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,5.663419760919807
end_to_end,dc,500,ng_reuse_vs_hspice_alter,hspice_alter,ngspice_optimized_reuse,2.2544138939643954
end_to_end,dc,500,source_optimization,ngspice_official_independent,ngspice_optimized_independent,0.9987599877120933
end_to_end,dc,500,topology_reuse,ngspice_optimized_independent,ngspice_optimized_reuse,0.8236390198984626
end_to_end,tran,1,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,0.13010265173054214
end_to_end,tran,1,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,0.13012226818357683
end_to_end,tran,1,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0001507767349378
end_to_end,tran,5,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,0.12801416976134644
end_to_end,tran,5,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,0.12804907515412778
end_to_end,tran,5,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0002726681963912
end_to_end,tran,10,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,0.1281754836744175
end_to_end,tran,10,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,0.12825767933064394
end_to_end,tran,10,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0006412743987394
end_to_end,tran,20,official_ng_vs_hspice_ind,hspice_independent,ngspice_official_independent,0.12825946646836106
end_to_end,tran,20,optimized_ng_vs_hspice_ind,hspice_independent,ngspice_optimized_independent,0.1284258473773001
end_to_end,tran,20,source_optimization,ngspice_official_independent,ngspice_optimized_independent,1.0012972212774647
