layer,analysis,method,size,repeats,median_wall_s,median_per_point_s,median_max_rss_kb,median_output_bytes
end_to_end,dc,hspice_alter,1,5,0.6451835390180349,0.6451835390180349,44224.0,7269.0
end_to_end,dc,hspice_alter,10,3,3.028524620924145,0.3028524620924145,58588.0,51634.0
end_to_end,dc,hspice_alter,50,3,12.268106814008206,0.24536213628016412,58632.0,248794.0
end_to_end,dc,hspice_alter,100,3,25.00159571703989,0.25001595717039893,58712.0,495248.0
end_to_end,dc,hspice_alter,200,3,48.520151049946435,0.24260075524973218,58960.0,988148.0
end_to_end,dc,hspice_alter,500,3,126.87435762595851,0.253748715251917,45480.0,2466850.0
end_to_end,dc,hspice_independent,1,5,0.6219838160322979,0.6219838160322979,41752.0,7293.0
end_to_end,dc,hspice_independent,10,3,4.969070004066452,0.49690700040664526,56660.0,72930.0
end_to_end,dc,hspice_independent,50,3,26.465344847994857,0.5293068969598971,56660.0,364650.0
end_to_end,dc,hspice_independent,100,3,55.13869510102086,0.5513869510102086,56660.0,729300.0
end_to_end,dc,hspice_independent,200,3,106.73478103009984,0.5336739051504992,56660.0,1458600.0
end_to_end,dc,hspice_independent,500,3,262.5160548900021,0.5250321097800043,41756.0,3647500.0
end_to_end,dc,ngspice_official_independent,1,5,0.10042813897598535,0.10042813897598535,11856.0,4603.0
end_to_end,dc,ngspice_official_independent,10,3,0.9088693680241704,0.09088693680241704,11860.0,46030.0
end_to_end,dc,ngspice_official_independent,50,3,4.617799086961895,0.09235598173923791,11864.0,230150.0
end_to_end,dc,ngspice_official_independent,100,3,9.206095742061734,0.09206095742061735,11864.0,460300.0
end_to_end,dc,ngspice_official_independent,200,3,18.39043093996588,0.09195215469982941,11864.0,920600.0
end_to_end,dc,ngspice_official_independent,500,3,46.29544388805516,0.09259088777611033,11864.0,2301500.0
end_to_end,dc,ngspice_optimized_independent,1,5,0.09910833300091326,0.09910833300091326,11872.0,4603.0
end_to_end,dc,ngspice_optimized_independent,10,3,0.8991445079445839,0.0899144507944584,11872.0,46030.0
end_to_end,dc,ngspice_optimized_independent,50,3,4.602414528024383,0.09204829056048766,11872.0,230150.0
end_to_end,dc,ngspice_optimized_independent,100,3,9.195459605078213,0.09195459605078213,11876.0,460300.0
end_to_end,dc,ngspice_optimized_independent,200,3,18.39550525508821,0.09197752627544105,11876.0,920600.0
end_to_end,dc,ngspice_optimized_independent,500,3,46.352922081016004,0.09270584416203201,11876.0,2301500.0
end_to_end,dc,ngspice_optimized_reuse,1,5,0.12229862902313471,0.12229862902313471,12220.0,5416.0
end_to_end,dc,ngspice_optimized_reuse,10,3,1.0861444129841402,0.10861444129841402,12220.0,45456.0
end_to_end,dc,ngspice_optimized_reuse,50,3,5.531620129942894,0.11063240259885788,12400.0,223352.0
end_to_end,dc,ngspice_optimized_reuse,100,3,11.102344176033512,0.11102344176033511,12668.0,445758.0
end_to_end,dc,ngspice_optimized_reuse,200,3,22.158411024021916,0.11079205512010958,13240.0,890531.0
end_to_end,dc,ngspice_optimized_reuse,500,3,56.27820071799215,0.1125564014359843,14936.0,2224905.0
end_to_end,tran,hspice_alter,1,5,1.8958477800479159,1.8958477800479159,58264.0,25468.0
end_to_end,tran,hspice_alter,5,3,5.947250194963999,1.1894500389927998,58900.0,117832.0
end_to_end,tran,hspice_alter,10,3,10.93446216697339,1.0934462166973389,58908.0,233311.0
end_to_end,tran,hspice_alter,20,3,20.961318301968277,1.0480659150984137,58928.0,464241.0
end_to_end,tran,hspice_independent,1,5,1.8987086568959057,1.8987086568959057,57580.0,25504.0
end_to_end,tran,hspice_independent,5,3,9.651107633952051,1.9302215267904104,57580.0,127520.0
end_to_end,tran,hspice_independent,10,3,19.36830078996718,1.9368300789967179,57580.0,255040.0
end_to_end,tran,hspice_independent,20,3,38.65119800006505,1.9325599000032525,57580.0,510080.0
end_to_end,tran,ngspice_official_independent,1,5,14.593927423004061,14.593927423004061,9412.0,36538.0
end_to_end,tran,ngspice_official_independent,5,3,75.39093251898885,15.07818650379777,9416.0,182914.0
end_to_end,tran,ngspice_official_independent,10,3,151.10768639005255,15.110768639005254,9416.0,365892.0
end_to_end,tran,ngspice_official_independent,20,3,301.35161999601405,15.067580999800702,9420.0,731720.0
end_to_end,tran,ngspice_optimized_independent,1,5,14.59172733000014,14.59172733000014,9424.0,36538.0
end_to_end,tran,ngspice_optimized_independent,5,3,75.37038141302764,15.074076282605528,9424.0,182914.0
end_to_end,tran,ngspice_optimized_independent,10,3,151.01084699993953,15.101084699993953,9424.0,365892.0
end_to_end,tran,ngspice_optimized_independent,20,3,300.9612067149719,15.048060335748596,9424.0,731688.0
solver_only,dc,hspice_alter,1,5,0.6185047059552744,0.6185047059552744,42176.0,3971.0
solver_only,dc,hspice_alter,10,3,3.0163714110385627,0.30163714110385625,43320.0,18807.0
solver_only,dc,hspice_alter,50,3,12.260841261944734,0.24521682523889468,43456.0,84727.0
solver_only,dc,hspice_alter,100,3,24.90201392804738,0.2490201392804738,43520.0,167131.0
solver_only,dc,hspice_alter,200,3,48.2898101368919,0.24144905068445952,43792.0,331931.0
solver_only,dc,hspice_alter,500,3,126.46653166809119,0.2529330633361824,60068.0,826329.0
solver_only,dc,hspice_independent,1,5,0.608795775915496,0.608795775915496,41456.0,3995.0
solver_only,dc,hspice_independent,10,3,4.964382356032729,0.49643823560327294,41460.0,39950.0
solver_only,dc,hspice_independent,50,3,26.26102971797809,0.5252205943595618,41460.0,199750.0
solver_only,dc,hspice_independent,100,3,54.742811144911684,0.5474281114491168,41460.0,399500.0
solver_only,dc,hspice_independent,200,3,106.55517079099081,0.5327758539549541,56364.0,799000.0
solver_only,dc,hspice_independent,500,3,263.07076619693544,0.5261415323938708,56364.0,1996500.0
solver_only,dc,ngspice_official_independent,1,5,0.0976057481020689,0.0976057481020689,11840.0,263.0
solver_only,dc,ngspice_official_independent,10,3,0.897237682947889,0.0897237682947889,11844.0,2630.0
solver_only,dc,ngspice_official_independent,50,3,4.574817480053753,0.09149634960107506,11848.0,13150.0
solver_only,dc,ngspice_official_independent,100,3,9.155893212999217,0.09155893212999217,11848.0,26300.0
solver_only,dc,ngspice_official_independent,200,3,18.250863161985762,0.09125431580992881,11848.0,52600.0
solver_only,dc,ngspice_official_independent,500,3,45.87746827502269,0.09175493655004538,11848.0,131500.0
solver_only,dc,ngspice_optimized_independent,1,5,0.08954584307502955,0.08954584307502955,11852.0,263.0
solver_only,dc,ngspice_optimized_independent,10,3,0.894105916027911,0.0894105916027911,11852.0,2630.0
solver_only,dc,ngspice_optimized_independent,50,3,4.570509028970264,0.09141018057940528,11852.0,13150.0
solver_only,dc,ngspice_optimized_independent,100,3,9.137874929001555,0.09137874929001555,11852.0,26300.0
solver_only,dc,ngspice_optimized_independent,200,3,18.203901635017246,0.09101950817508624,11856.0,52600.0
solver_only,dc,ngspice_optimized_independent,500,3,45.824696738040075,0.09164939347608014,11856.0,131500.0
solver_only,dc,ngspice_optimized_reuse,1,5,0.12091104697901756,0.12091104697901756,12196.0,1062.0
solver_only,dc,ngspice_optimized_reuse,10,3,1.0773575539933518,0.10773575539933518,12196.0,1876.0
solver_only,dc,ngspice_optimized_reuse,50,3,5.549810696975328,0.11099621393950657,12296.0,5602.0
solver_only,dc,ngspice_optimized_reuse,100,3,11.059718547970988,0.11059718547970988,12520.0,10259.0
solver_only,dc,ngspice_optimized_reuse,200,3,22.089443341013975,0.11044721670506988,12988.0,19500.0
solver_only,dc,ngspice_optimized_reuse,500,3,55.648951736046,0.11129790347209201,14384.0,47311.0
solver_only,tran,hspice_alter,1,5,0.1374371179845184,0.1374371179845184,56708.0,4574.0
solver_only,tran,hspice_alter,5,3,0.3115943359443918,0.06231886718887836,42892.0,13538.0
solver_only,tran,hspice_alter,10,3,0.5238176470156759,0.05238176470156759,42976.0,24767.0
solver_only,tran,hspice_alter,20,3,0.9808384149800986,0.04904192074900493,43056.0,47197.0
solver_only,tran,hspice_independent,1,5,0.12810642994008958,0.12810642994008958,56012.0,4610.0
solver_only,tran,hspice_independent,5,3,0.6121174360159785,0.1224234872031957,41108.0,23050.0
solver_only,tran,hspice_independent,10,3,1.2126924080075696,0.12126924080075696,41108.0,46100.0
solver_only,tran,hspice_independent,20,3,2.4075020119780675,0.12037510059890337,56012.0,92200.0
solver_only,tran,ngspice_official_independent,1,5,14.632639485993423,14.632639485993423,29136.0,22090.0
solver_only,tran,ngspice_official_independent,5,3,75.60964316001628,15.121928632003256,29984.0,110738.0
solver_only,tran,ngspice_official_independent,10,3,151.1972897730302,15.119728977303021,30620.0,221412.0
