model,parameter,value
NM,LEVEL,54
NM,VERSION,4.7.0
NM,TNOM,25.0
NM,TOXE,1.5e-09
NM,DTOX,0.0
NM,EPSROX,3.9
NM,XJ,1e-07
NM,NSD,1e+20
NM,NGATE,0.0
NM,PHIN,0.0
NM,K1,0.53
NM,K2,-0.0186
NM,K3,0.0
NM,K3B,0.0
NM,W0,2.5e-06
NM,DVT0,2.2
NM,DVT1,0.53
NM,DVT2,-0.032
NM,DVT0W,0.0
NM,DVT1W,5300000.0
NM,DVT2W,-0.032
NM,UA,1e-09
NM,UB,1e-18
NM,UC,-4.65e-11
NM,A0,1.0
NM,AGS,0.0
NM,B0,0.0
NM,B1,0.0
NM,KETA,-0.047
NM,A1,0.0
NM,A2,1.0
NM,PRWG,0.0
NM,PRWB,0.0
NM,WR,1.0
NM,DWG,0.0
NM,DWB,0.0
NM,VOFF,-0.08
NM,NFACTOR,1.0
NM,ETAB,-0.07
NM,PCLM,1.3
NM,PDIBLC1,0.39
NM,PDIBLC2,0.0086
NM,PDIBLCB,0.0
NM,DROUT,0.56
NM,PVAG,0.0
NM,DELTA,0.01
NM,MOBMOD,0
NM,CAPMOD,2
NM,RDSMOD,0
NM,RGATEMOD,0
NM,NDEP,1.7e+17
NM,VTH0,0.4512648305109604
NM,U0,0.05447222792451256
NM,RDSW,95.09358841666251
NM,VSAT,87504.44732201265
NM,ETA0,0.08611902410710817
PM,LEVEL,54
PM,VERSION,4.7.0
PM,TNOM,25.0
PM,TOXE,1.5e-09
PM,DTOX,0.0
PM,EPSROX,3.9
PM,XJ,1e-07
PM,NSD,1e+20
PM,NGATE,0.0
PM,PHIN,0.0
PM,K1,0.53
PM,K2,-0.0186
PM,K3,0.0
PM,K3B,0.0
PM,W0,2.5e-06
PM,DVT0,2.2
PM,DVT1,0.53
PM,DVT2,-0.032
PM,DVT0W,0.0
PM,DVT1W,5300000.0
PM,DVT2W,-0.032
PM,UA,1e-09
PM,UB,1e-18
PM,UC,-4.65e-11
PM,A0,1.0
PM,AGS,0.0
PM,B0,0.0
PM,B1,0.0
PM,KETA,-0.047
PM,A1,0.0
PM,A2,1.0
PM,PRWG,0.0
PM,PRWB,0.0
PM,WR,1.0
PM,DWG,0.0
PM,DWB,0.0
PM,VOFF,-0.08
PM,NFACTOR,1.0
PM,ETAB,-0.07
PM,PCLM,1.3
PM,PDIBLC1,0.39
PM,PDIBLC2,0.0086
PM,PDIBLCB,0.0
PM,DROUT,0.56
PM,PVAG,0.0
PM,DELTA,0.01
PM,MOBMOD,0
PM,CAPMOD,2
PM,RDSMOD,0
PM,RGATEMOD,0
PM,NDEP,1.2e+17
PM,VTH0,-0.4371232877505891
PM,U0,0.01964222763349697
PM,RDSW,125.06632680402315
PM,VSAT,75147.44317869641
PM,ETA0,0.07237550013566066
