analysis,layer,complexity,comparison,first_measured_worker,first_measured_speedup
dc,end_to_end,21,ng_reuse_vs_hspice_alter,1,2.5045120666290783
dc,end_to_end,21,official_ng_vs_hspice_ind,1,5.591043951199506
dc,end_to_end,21,optimized_vs_official,1,1.0013336400174668
dc,end_to_end,21,reuse_vs_optimized,64,1.2143590411413927
dc,end_to_end,101,ng_reuse_vs_hspice_alter,1,1.984334059555113
dc,end_to_end,101,official_ng_vs_hspice_ind,1,9.105082890486624
dc,end_to_end,101,optimized_vs_official,8,1.0108019853051107
dc,end_to_end,101,reuse_vs_optimized,not_observed,
dc,solver_only,5,ng_reuse_vs_hspice_alter,1,2.891569033108945
dc,solver_only,5,official_ng_vs_hspice_ind,1,4.9490689300728405
dc,solver_only,5,optimized_vs_official,1,1.0025695000857409
dc,solver_only,5,reuse_vs_optimized,1,1.0936496919014334
dc,solver_only,101,ng_reuse_vs_hspice_alter,1,1.9748475426101146
dc,solver_only,101,official_ng_vs_hspice_ind,1,9.146194709004009
dc,solver_only,101,optimized_vs_official,4,1.001067116969467
dc,solver_only,101,reuse_vs_optimized,not_observed,
tran,end_to_end,4,official_ng_vs_hspice_ind,not_observed,
tran,end_to_end,4,optimized_vs_official,1,1.0016571313376523
