analysis,layer,complexity,workers,comparison,speedup
dc,end_to_end,21,1,official_ng_vs_hspice_ind,5.591043951199506
dc,end_to_end,21,1,ng_reuse_vs_hspice_alter,2.5045120666290783
dc,end_to_end,21,1,optimized_vs_official,1.0013336400174668
dc,end_to_end,21,1,reuse_vs_optimized,0.8458777117477728
dc,end_to_end,101,1,official_ng_vs_hspice_ind,9.105082890486624
dc,end_to_end,101,1,ng_reuse_vs_hspice_alter,1.984334059555113
dc,end_to_end,101,1,optimized_vs_official,0.9996235732746686
dc,end_to_end,101,1,reuse_vs_optimized,0.42115111126437754
dc,end_to_end,21,2,official_ng_vs_hspice_ind,5.586120499094221
dc,end_to_end,21,2,ng_reuse_vs_hspice_alter,2.2884323239229856
dc,end_to_end,21,2,optimized_vs_official,0.9992428746643653
dc,end_to_end,21,2,reuse_vs_optimized,0.8586179879083987
dc,end_to_end,101,2,official_ng_vs_hspice_ind,9.06990876178136
dc,end_to_end,101,2,ng_reuse_vs_hspice_alter,1.869919167764048
dc,end_to_end,101,2,optimized_vs_official,0.997511941115865
dc,end_to_end,101,2,reuse_vs_optimized,0.42534389797313554
dc,end_to_end,21,4,official_ng_vs_hspice_ind,5.471138730859721
dc,end_to_end,21,4,ng_reuse_vs_hspice_alter,2.168417337004343
dc,end_to_end,21,4,optimized_vs_official,0.9987067631985724
dc,end_to_end,21,4,reuse_vs_optimized,0.8831691576193152
dc,end_to_end,101,4,official_ng_vs_hspice_ind,8.896268737355546
dc,end_to_end,101,4,ng_reuse_vs_hspice_alter,1.8057102930209574
dc,end_to_end,101,4,optimized_vs_official,0.9965155765569174
dc,end_to_end,101,4,reuse_vs_optimized,0.43465868032594607
dc,end_to_end,21,8,official_ng_vs_hspice_ind,5.488882636298606
dc,end_to_end,21,8,ng_reuse_vs_hspice_alter,2.1469308685856676
dc,end_to_end,21,8,optimized_vs_official,1.0198667295299446
dc,end_to_end,21,8,reuse_vs_optimized,0.8753031917822172
dc,end_to_end,101,8,official_ng_vs_hspice_ind,8.78620114143306
dc,end_to_end,101,8,ng_reuse_vs_hspice_alter,1.8018114309924596
dc,end_to_end,101,8,optimized_vs_official,1.0108019853051107
dc,end_to_end,101,8,reuse_vs_optimized,0.4405475177464129
dc,end_to_end,21,16,official_ng_vs_hspice_ind,5.18710877440603
dc,end_to_end,21,16,ng_reuse_vs_hspice_alter,2.10630211477806
dc,end_to_end,21,16,optimized_vs_official,1.0131304096901361
dc,end_to_end,21,16,reuse_vs_optimized,0.8908880935289669
dc,end_to_end,101,16,official_ng_vs_hspice_ind,8.53068605153474
dc,end_to_end,101,16,ng_reuse_vs_hspice_alter,1.7820917327523327
dc,end_to_end,101,16,optimized_vs_official,1.0034255500078197
dc,end_to_end,101,16,reuse_vs_optimized,0.44690638254853216
dc,end_to_end,21,32,official_ng_vs_hspice_ind,4.73872597692454
dc,end_to_end,21,32,ng_reuse_vs_hspice_alter,2.0322579141928974
dc,end_to_end,21,32,optimized_vs_official,0.9831282903006214
dc,end_to_end,21,32,reuse_vs_optimized,0.9242574718832429
dc,end_to_end,101,32,official_ng_vs_hspice_ind,7.572756266379976
dc,end_to_end,101,32,ng_reuse_vs_hspice_alter,1.691601532612759
dc,end_to_end,101,32,optimized_vs_official,0.9856450108448658
dc,end_to_end,101,32,reuse_vs_optimized,0.47144693240142704
dc,end_to_end,21,64,official_ng_vs_hspice_ind,2.7931692570892506
dc,end_to_end,21,64,ng_reuse_vs_hspice_alter,1.7054853970516353
dc,end_to_end,21,64,optimized_vs_official,0.9848387264597431
dc,end_to_end,21,64,reuse_vs_optimized,1.2143590411413927
dc,end_to_end,101,64,official_ng_vs_hspice_ind,4.576270911950749
dc,end_to_end,101,64,ng_reuse_vs_hspice_alter,1.398613350199776
dc,end_to_end,101,64,optimized_vs_official,0.9655791792425373
dc,end_to_end,101,64,reuse_vs_optimized,0.6270294570413195
dc,end_to_end,21,128,official_ng_vs_hspice_ind,1.7955016716093053
dc,end_to_end,21,128,ng_reuse_vs_hspice_alter,8.324131857128247
dc,end_to_end,21,128,optimized_vs_official,0.9641635964170003
dc,end_to_end,21,128,reuse_vs_optimized,1.2079187101150421
dc,end_to_end,101,128,official_ng_vs_hspice_ind,45.64110867846216
dc,end_to_end,101,128,ng_reuse_vs_hspice_alter,5.591806196303315
dc,end_to_end,101,128,optimized_vs_official,0.9910397773328032
dc,end_to_end,101,128,reuse_vs_optimized,0.7727259836954342
dc,end_to_end,21,192,ng_reuse_vs_hspice_alter,7.01922631278259
dc,end_to_end,21,192,optimized_vs_official,0.9659709048857864
dc,end_to_end,21,192,reuse_vs_optimized,0.9658269560337429
dc,end_to_end,101,192,official_ng_vs_hspice_ind,37.483390637887794
dc,end_to_end,101,192,ng_reuse_vs_hspice_alter,4.262018387514169
dc,end_to_end,101,192,optimized_vs_official,1.028136162857858
dc,end_to_end,101,192,reuse_vs_optimized,0.5634780582183179
dc,end_to_end,21,256,official_ng_vs_hspice_ind,2.2015261087543703
dc,end_to_end,21,256,ng_reuse_vs_hspice_alter,11.174190202944535
dc,end_to_end,21,256,optimized_vs_official,0.9881749476834812
dc,end_to_end,21,256,reuse_vs_optimized,0.7750371470639816
dc,end_to_end,101,256,official_ng_vs_hspice_ind,47.65168171051764
dc,end_to_end,101,256,ng_reuse_vs_hspice_alter,6.862877648722388
dc,end_to_end,101,256,optimized_vs_official,1.005839080735324
dc,end_to_end,101,256,reuse_vs_optimized,0.48225702846999763
dc,end_to_end,21,1,official_ng_vs_hspice_ind,5.591043951199506
dc,end_to_end,21,1,ng_reuse_vs_hspice_alter,2.5045120666290783
dc,end_to_end,21,1,optimized_vs_official,1.0013336400174668
dc,end_to_end,21,1,reuse_vs_optimized,0.8458777117477728
dc,end_to_end,101,1,official_ng_vs_hspice_ind,9.105082890486624
dc,end_to_end,101,1,ng_reuse_vs_hspice_alter,1.984334059555113
dc,end_to_end,101,1,optimized_vs_official,0.9996235732746686
dc,end_to_end,101,1,reuse_vs_optimized,0.42115111126437754
dc,end_to_end,21,2,official_ng_vs_hspice_ind,5.586120499094221
dc,end_to_end,21,2,ng_reuse_vs_hspice_alter,2.2884323239229856
dc,end_to_end,21,2,optimized_vs_official,0.9992428746643653
dc,end_to_end,21,2,reuse_vs_optimized,0.8586179879083987
dc,end_to_end,101,2,official_ng_vs_hspice_ind,9.06990876178136
dc,end_to_end,101,2,ng_reuse_vs_hspice_alter,1.869919167764048
dc,end_to_end,101,2,optimized_vs_official,0.997511941115865
dc,end_to_end,101,2,reuse_vs_optimized,0.42534389797313554
dc,end_to_end,21,4,official_ng_vs_hspice_ind,5.471138730859721
dc,end_to_end,21,4,ng_reuse_vs_hspice_alter,2.168417337004343
dc,end_to_end,21,4,optimized_vs_official,0.9987067631985724
dc,end_to_end,21,4,reuse_vs_optimized,0.8831691576193152
dc,end_to_end,101,4,official_ng_vs_hspice_ind,8.896268737355546
dc,end_to_end,101,4,ng_reuse_vs_hspice_alter,1.8057102930209574
dc,end_to_end,101,4,optimized_vs_official,0.9965155765569174
dc,end_to_end,101,4,reuse_vs_optimized,0.43465868032594607
dc,end_to_end,21,8,official_ng_vs_hspice_ind,5.488882636298606
dc,end_to_end,21,8,ng_reuse_vs_hspice_alter,2.1469308685856676
dc,end_to_end,21,8,optimized_vs_official,1.0198667295299446
dc,end_to_end,21,8,reuse_vs_optimized,0.8753031917822172
dc,end_to_end,101,8,official_ng_vs_hspice_ind,8.78620114143306
dc,end_to_end,101,8,ng_reuse_vs_hspice_alter,1.8018114309924596
dc,end_to_end,101,8,optimized_vs_official,1.0108019853051107
dc,end_to_end,101,8,reuse_vs_optimized,0.4405475177464129
dc,end_to_end,21,16,official_ng_vs_hspice_ind,5.18710877440603
dc,end_to_end,21,16,ng_reuse_vs_hspice_alter,2.10630211477806
dc,end_to_end,21,16,optimized_vs_official,1.0131304096901361
dc,end_to_end,21,16,reuse_vs_optimized,0.8908880935289669
dc,end_to_end,101,16,official_ng_vs_hspice_ind,8.53068605153474
dc,end_to_end,101,16,ng_reuse_vs_hspice_alter,1.7820917327523327
dc,end_to_end,101,16,optimized_vs_official,1.0034255500078197
dc,end_to_end,101,16,reuse_vs_optimized,0.44690638254853216
dc,end_to_end,21,32,official_ng_vs_hspice_ind,4.73872597692454
dc,end_to_end,21,32,ng_reuse_vs_hspice_alter,2.0322579141928974
dc,end_to_end,21,32,optimized_vs_official,0.9831282903006214
dc,end_to_end,21,32,reuse_vs_optimized,0.9242574718832429
dc,end_to_end,101,32,official_ng_vs_hspice_ind,7.572756266379976
dc,end_to_end,101,32,ng_reuse_vs_hspice_alter,1.691601532612759
dc,end_to_end,101,32,optimized_vs_official,0.9856450108448658
dc,end_to_end,101,32,reuse_vs_optimized,0.47144693240142704
dc,end_to_end,21,64,official_ng_vs_hspice_ind,2.7931692570892506
dc,end_to_end,21,64,ng_reuse_vs_hspice_alter,1.7054853970516353
dc,end_to_end,21,64,optimized_vs_official,0.9848387264597431
dc,end_to_end,21,64,reuse_vs_optimized,1.2143590411413927
dc,end_to_end,101,64,official_ng_vs_hspice_ind,4.576270911950749
dc,end_to_end,101,64,ng_reuse_vs_hspice_alter,1.398613350199776
dc,end_to_end,101,64,optimized_vs_official,0.9655791792425373
dc,end_to_end,101,64,reuse_vs_optimized,0.6270294570413195
dc,end_to_end,21,128,official_ng_vs_hspice_ind,1.7955016716093053
dc,end_to_end,21,128,ng_reuse_vs_hspice_alter,8.324131857128247
dc,end_to_end,21,128,optimized_vs_official,0.9641635964170003
dc,end_to_end,21,128,reuse_vs_optimized,1.2079187101150421
dc,end_to_end,101,128,official_ng_vs_hspice_ind,45.64110867846216
dc,end_to_end,101,128,ng_reuse_vs_hspice_alter,5.591806196303315
dc,end_to_end,101,128,optimized_vs_official,0.9910397773328032
dc,end_to_end,101,128,reuse_vs_optimized,0.7727259836954342
dc,end_to_end,101,192,official_ng_vs_hspice_ind,37.483390637887794
dc,end_to_end,101,192,ng_reuse_vs_hspice_alter,4.262018387514169
dc,end_to_end,101,192,optimized_vs_official,1.028136162857858
dc,end_to_end,101,192,reuse_vs_optimized,0.5634780582183179
dc,end_to_end,21,256,official_ng_vs_hspice_ind,2.2015261087543703
dc,end_to_end,21,256,ng_reuse_vs_hspice_alter,11.174190202944535
dc,end_to_end,21,256,optimized_vs_official,0.9881749476834812
dc,end_to_end,21,256,reuse_vs_optimized,0.7750371470639816
dc,end_to_end,101,256,official_ng_vs_hspice_ind,47.65168171051764
dc,end_to_end,101,256,ng_reuse_vs_hspice_alter,6.862877648722388
