scaling,analysis,layer,method,workers,effective_workers,complexity,total_points,repeats,median_wall_s,median_total_cpu_s,median_aggregate_rss_kb,throughput_points_s,effective_cpu
strong,dc,end_to_end,hspice_alter,1,1,5,1000,3,249.94038545398507,249.74,66624.0,4.000954060239711,0.9991982670042655
strong,dc,end_to_end,hspice_alter,1,1,21,1000,3,280.50109443697147,280.06,66624.0,3.565048478713511,0.9984274769485059
strong,dc,end_to_end,hspice_alter,1,1,101,1000,3,449.4391656809021,447.94,62792.0,2.2249952304112086,0.9966643635103967
strong,dc,end_to_end,hspice_alter,2,2,5,1000,3,113.2320183950942,221.74,120888.0,8.831424310664104,1.9582800266466587
strong,dc,end_to_end,hspice_alter,2,2,21,1000,3,128.23389306094032,252.14999999999998,120888.0,7.798250338736672,1.9663288229124516
strong,dc,end_to_end,hspice_alter,2,2,101,1000,3,212.47687978902832,419.12,118744.0,4.706394413325892,1.972544026513148
strong,dc,end_to_end,hspice_alter,4,4,5,1000,3,53.48737712192815,208.59,236504.0,18.695999950052354,3.8997986295814204
strong,dc,end_to_end,hspice_alter,4,4,21,1000,3,61.33032449905295,239.59,236492.0,16.305147709033267,3.9065503396072803
strong,dc,end_to_end,hspice_alter,4,4,101,1000,3,103.56802818807773,407.56,176688.0,9.655489415942316,3.9351912663614503
strong,dc,end_to_end,hspice_alter,8,8,5,1000,3,29.25987529498525,222.62,470040.0,34.17649562475704,7.608371455983413
strong,dc,end_to_end,hspice_alter,8,8,21,1000,3,32.37931724009104,247.55,469928.0,30.883912486018446,7.645312535913867
strong,dc,end_to_end,hspice_alter,8,8,101,1000,3,54.651062773074955,424.68,350480.0,18.297905827600335,7.770754646865311
strong,dc,end_to_end,hspice_alter,16,16,5,1000,3,15.276738922926597,228.2,939504.0,65.45899652047126,14.93774300597154
strong,dc,end_to_end,hspice_alter,16,16,21,1000,3,17.45769396109972,262.38,832140.0,57.28133407701268,15.029476435126588
strong,dc,end_to_end,hspice_alter,16,16,101,1000,3,28.941811830969527,444.41,699936.0,34.552086988898814,15.355292978736523
strong,dc,end_to_end,hspice_alter,32,32,5,1000,3,8.511524186003953,243.06,1874960.0,117.48777047997635,28.556577492863052
strong,dc,end_to_end,hspice_alter,32,32,21,1000,3,9.597022174857557,277.58,1439580.0,104.19898816320516,28.923555134342486
strong,dc,end_to_end,hspice_alter,32,32,101,1000,3,15.382418469060212,460.06,1400352.0,65.00928329387042,29.90817087217803
strong,dc,end_to_end,hspice_alter,64,64,5,1000,3,5.269565137918107,281.65,3420688.0,189.76897975969962,53.44843314931939
strong,dc,end_to_end,hspice_alter,64,64,21,1000,3,5.868180163903162,316.23,2885692.0,170.41058250925613,53.88893850690207
strong,dc,end_to_end,hspice_alter,64,64,101,1000,3,8.922931729117408,504.7,2799512.0,112.07078910362937,56.56212726060174
strong,dc,end_to_end,hspice_alter,128,128,5,1000,3,32.94158839096781,358.08,6398440.0,30.35676325414193,10.870149786043143
strong,dc,end_to_end,hspice_alter,128,128,21,1000,3,33.26215696299914,388.45,5515440.0,30.06419581004326,11.678436862411303
strong,dc,end_to_end,hspice_alter,128,128,101,1000,3,34.60840990790166,572.52,5442392.0,28.89471092896654,16.542799901051925
strong,dc,end_to_end,hspice_alter,192,192,5,1000,3,34.23594448796939,436.94,9812140.0,29.209067106397573,12.762609781469354
strong,dc,end_to_end,hspice_alter,192,192,21,1000,3,34.53721946408041,462.63,8050772.0,28.954270654012134,13.395114232665632
strong,dc,end_to_end,hspice_alter,192,192,101,1000,3,36.49580712988973,659.87,7970672.0,27.400407845234618,18.08070712483497
strong,dc,end_to_end,hspice_alter,256,256,5,1000,3,62.68609693099279,490.90000000000003,12261020.0,15.952500617494778,7.831082553128187
strong,dc,end_to_end,hspice_alter,256,256,21,1000,3,63.005540765821934,526.88,10634488.0,15.871619985245191,8.362439137825985
strong,dc,end_to_end,hspice_alter,256,256,101,1000,3,64.31891827099025,709.92,10403040.0,15.547525158721921,11.037499060679865
strong,dc,end_to_end,hspice_independent,1,1,5,1000,3,467.4732281360775,450.68,56660.0,2.1391599343287067,0.9640765992032614
strong,dc,end_to_end,hspice_independent,1,1,21,1000,3,530.3843810299877,513.1,56660.0,1.8854250535395394,0.9674115949711377
strong,dc,end_to_end,hspice_independent,1,1,101,1000,3,868.1893875899259,850.9100000000001,56684.0,1.1518224183504215,0.9800972139985574
strong,dc,end_to_end,hspice_independent,2,2,5,1000,3,238.68774204095826,451.23,113324.0,4.189574175235201,1.8904615550913797
strong,dc,end_to_end,hspice_independent,2,2,21,1000,3,268.5629484219244,511.8,113320.0,3.7235218256129485,1.9056984703487072
strong,dc,end_to_end,hspice_independent,2,2,101,1000,3,437.27039527893066,849.45,113368.0,2.2869144831131534,1.9426195076804682
strong,dc,end_to_end,hspice_independent,4,4,5,1000,3,121.44778479391243,456.67,226640.0,8.233991272026273,3.760216794196238
strong,dc,end_to_end,hspice_independent,4,4,21,1000,3,136.48722496512346,518.01,226640.0,7.326693031201489,3.7953002570926833
strong,dc,end_to_end,hspice_independent,4,4,101,1000,3,221.01307978015393,856.1500000000001,167132.0,4.5246190903937435,3.873752634240604
strong,dc,end_to_end,hspice_independent,8,8,5,1000,3,65.57534344901796,486.87000000000006,457020.0,15.249634197912473,7.424589401937647
strong,dc,end_to_end,hspice_independent,8,8,21,1000,3,73.89848036004696,551.48,453288.0,13.53207799575602,7.462670373099531
strong,dc,end_to_end,hspice_independent,8,8,101,1000,3,118.67227283981629,911.49,334252.0,8.426568195502576,7.680732644518643
strong,dc,end_to_end,hspice_independent,16,16,5,1000,3,34.613846988999285,504.13000000000005,906564.0,28.89017219951924,14.564402510943637
strong,dc,end_to_end,hspice_independent,16,16,21,1000,3,38.804319640039466,571.57,906564.0,25.77032684186453,14.72954571300451
strong,dc,end_to_end,hspice_independent,16,16,101,1000,3,62.1271357301157,942.88,668488.0,16.09602612848699,15.176621116027814
strong,dc,end_to_end,hspice_independent,32,32,5,1000,3,18.22149692394305,505.28000000000003,1813144.0,54.880233175903335,27.72988421912044
strong,dc,end_to_end,hspice_independent,32,32,21,1000,3,20.333981973002665,574.0600000000001,1669256.0,49.17875905111431,28.231558420882685
strong,dc,end_to_end,hspice_independent,32,32,101,1000,3,31.99881334719248,946.83,1336984.0,31.251158883607108,29.58953476576572
strong,dc,end_to_end,hspice_independent,64,64,5,1000,3,10.554431603988633,522.16,3626236.0,94.74693072264444,49.47305734613602
strong,dc,end_to_end,hspice_independent,64,64,21,1000,3,11.493833869928494,594.54,2805840.0,87.00317155412489,51.726865615789414
strong,dc,end_to_end,hspice_independent,64,64,101,1000,3,17.676548274001107,990.58,2677672.0,56.57213074063859,56.03922126906178
strong,dc,end_to_end,hspice_independent,128,128,5,1000,3,8.618614476989023,538.84,6298596.0,116.02793032104128,62.520489974189886
strong,dc,end_to_end,hspice_independent,128,128,21,1000,1,8.355755235999823,591.79,5834216.0,119.67799100811541,70.8242382986926
strong,dc,end_to_end,hspice_independent,128,128,101,1000,1,216.3228134228848,1406.29,5250516.0,4.622720942728873,6.500886234550186
strong,dc,end_to_end,hspice_independent,192,192,5,1000,3,10.01149045897182,534.56,9924780.0,99.88522728939402,53.394647099818464
strong,dc,end_to_end,hspice_independent,192,192,101,1000,2,185.9491369704483,1342.1100000000001,8206264.0,5.377814687889213,7.217618870762992
strong,dc,end_to_end,hspice_independent,256,256,5,1000,2,9.688407933048438,532.9649999999999,12600762.0,103.21613281671058,55.01058622665814
strong,dc,end_to_end,hspice_independent,256,256,21,1000,1,9.506986606866121,592.84,10833840.0,105.18580085910519,62.35835018131193
strong,dc,end_to_end,hspice_independent,256,256,101,1000,1,216.62959066289477,1430.65,10127156.0,4.616174535251449,6.604130098857486
strong,dc,end_to_end,ngspice_official_independent,1,1,21,1000,2,94.86321081704227,82.215,11864.0,10.541494341032246,0.8666689572479661
strong,dc,end_to_end,ngspice_official_independent,1,1,101,1000,3,95.35216735885479,82.34,11864.0,10.48743859420135,0.8635356938465393
strong,dc,end_to_end,ngspice_official_independent,2,2,21,1000,3,48.07682692585513,82.41,23728.0,20.800041598881233,1.7141314281638023
strong,dc,end_to_end,ngspice_official_independent,2,2,101,1000,3,48.2111128969118,82.54,23728.0,20.742105707832682,1.7120534051245095
strong,dc,end_to_end,ngspice_official_independent,4,4,21,1000,3,24.946767332963645,84.24,47456.0,40.08535401212648,3.3767902219815342
strong,dc,end_to_end,ngspice_official_independent,4,4,101,1000,3,24.843345711007714,83.47,47456.0,40.25222736231195,3.3598534179321784
strong,dc,end_to_end,ngspice_official_independent,8,8,21,1000,3,13.463301232084632,89.7,94912.0,74.27598794394366,6.662556118571747
strong,dc,end_to_end,ngspice_official_independent,8,8,101,1000,3,13.50666470406577,89.39,94908.0,74.03752309768825,6.6182141897023525
strong,dc,end_to_end,ngspice_official_independent,16,16,21,1000,3,7.480914962012321,92.87,189808.0,133.67348848074676,12.414256875206952
strong,dc,end_to_end,ngspice_official_independent,16,16,101,1000,3,7.282783044036478,92.74,189800.0,137.3101455794227,12.73414290103566
strong,dc,end_to_end,ngspice_official_independent,32,32,21,1000,3,4.29102296102792,93.42,379572.0,233.04466302842823,21.771032420115766
strong,dc,end_to_end,ngspice_official_independent,32,32,101,1000,3,4.225517397047952,93.42999999999999,379564.0,236.65740926747196,22.110901747859906
strong,dc,end_to_end,ngspice_official_independent,64,64,21,1000,3,4.114979370031506,105.6,759084.0,243.01458405424367,25.662340076128128
strong,dc,end_to_end,ngspice_official_independent,64,64,101,1000,3,3.8626533730421215,105.13,759092.0,258.88939633545914,27.21704223674682
strong,dc,end_to_end,ngspice_official_independent,128,128,21,1000,3,4.65371621097438,123.25,1518128.0,214.8820329099146,26.484210556146977
strong,dc,end_to_end,ngspice_official_independent,128,128,101,1000,3,4.739648524904624,121.88,1518136.0,210.98610893729153,25.71498695727709
strong,dc,end_to_end,ngspice_official_independent,192,192,21,1000,3,4.590515869902447,112.69,2277148.0,217.84044066952566,24.54843925904885
